feature_1,feature_2,label
-0.1441,-0.1729,0
-0.1113,0.702,1
-0.1276,-1.4974,0
0.3323,-0.2673,1
-0.217,0.1159,0
0.2323,1.1636,1
0.6566,0.1105,1
-0.7383,-1.0147,0
0.2463,1.3111,1
0.0417,-0.1063,0
0.5318,-1.4535,0
-0.3123,0.4904,1
0.8734,-0.2406,1
0.3766,0.2482,1
0.7823,-1.1132,0
0.5683,-1.5145,0
-2.6199,-0.6069,0
-0.9158,0.876,0
0.6643,-1.2191,0
0.8474,-1.0022,0
-0.0862,-0.2939,0
0.1144,0.8186,1
0.6384,0.3499,1
0.6499,0.4785,1
-0.627,-0.7174,0
-0.47,0.4993,1
-0.2501,2.3358,1
-0.8193,-1.0989,0
0.7685,1.4218,1
0.5057,0.8358,1
1.4263,-0.094,1
-1.423,-0.5321,0
0.9529,-1.4437,0
0.0335,0.2532,1
-0.3156,0.7236,1
0.5808,2.3214,1
0.62,-0.6094,1
-0.5618,-0.8316,0
0.9523,-0.5668,1
-0.0703,0.7493,1
-0.7235,-0.2937,0
-1.8413,-1.0825,0
-0.5677,0.4158,0
1.1935,-0.0185,1
0.2614,0.168,1
1.0847,0.8934,1
0.2737,-1.0109,0
0.9034,0.381,1
1.2269,-0.0299,1
1.9531,-0.3589,1
1.5931,0.1151,1
-0.5163,-1.1284,0
-0.151,1.4233,1
0.8164,0.6889,1
-2.3759,0.711,0
0.5559,-0.5499,1
-0.6274,-0.0023,0
1.7249,-1.0551,1
-0.4278,1.3618,1
-0.4462,-0.3643,0
0.0978,-1.2413,0
0.2199,-1.2096,0
0.8852,0.0032,1
2.2834,0.2808,1
1.3657,-1.3033,1
-0.1221,0.3231,1
1.7457,-1.6809,1
0.9906,0.5914,1
1.5335,0.7124,1
0.0521,-0.5216,0
-1.2482,0.1954,0
-0.1917,2.0203,1
-0.611,0.3204,0
-1.569,-0.3955,0
0.2611,0.824,1
1.4481,-0.0441,1
-1.1172,0.4579,0
0.517,0.4917,1
-0.7003,1.1334,1
0.0879,0.6998,1
1.2741,0.6093,1
0.2865,2.1528,1
0.2437,-0.296,0
0.112,1.4828,1
0.1187,0.5194,1
1.1957,-0.5129,1
-1.7266,0.2994,0
0.2297,-0.608,0
0.8711,0.6076,1
-0.995,0.5182,0
-0.1961,-1.483,0
0.453,-0.0452,1
-0.7453,0.5229,0
0.4881,-0.5775,0
0.4004,1.0151,1
-0.7127,0.3809,0
0.0028,2.266,1
-1.8623,0.6953,0
-0.3062,-0.1002,0
1.9016,-0.0086,1
2.2409,-0.4421,1
0.3505,-0.4908,0
-0.6907,0.0625,0
-0.2826,0.2025,0
-2.105,2.0025,0
-0.167,1.7429,1
-1.0071,0.2925,0
3.1649,-0.8697,1
-1.4953,-0.5465,0
0.4725,0.6933,1
1.2904,-0.257,1
-1.6023,-0.435,0
1.2402,0.4657,1
-1.9569,-0.0351,0
1.3982,2.1265,1
0.5617,0.3093,1
-1.2402,-0.8432,0
0.0469,0.5032,1
0.5802,-0.4782,1
-1.1519,-0.7778,0
-1.157,0.6434,0
-2.3123,-0.3333,0
0.4499,1.522,1
0.0713,1.0013,1
-0.399,-0.7444,0
-0.6744,1.5273,1
0.9942,0.4874,1
3.3303,-0.0323,1
0.6203,0.3076,1
-0.2219,2.3162,1
1.5066,-1.3995,1
-0.3998,0.4283,1
0.7832,-1.3484,0
-2.2556,-1.9064,0
-0.0711,-0.1032,0
0.3452,-0.7697,0
-1.2242,-2.023,0
0.3292,0.3701,1
0.993,0.7908,1
-0.1907,1.3493,1
-0.1364,-0.6608,0
-0.5206,-0.5848,0
-2.1657,0.1563,0
0.2499,-0.3623,0
-0.7138,0.3718,0
1.7169,0.0383,1
-0.5076,-0.5914,0
-0.0698,-1.2648,0
-0.1253,0.0612,0
1.8447,0.9435,1
1.034,-0.7129,1
0.6699,-1.1394,0
0.312,0.4187,1
-0.7664,1.9994,1
0.5674,-1.9027,0
0.5529,-0.4074,1
0.0014,0.4658,1
0.3905,-2.0392,0
-1.1583,0.7726,0
1.3012,1.9032,1
1.8032,-2.0555,0
0.7695,-1.9163,0
1.6136,0.2533,1
-1.1412,2.0099,1
0.644,-1.8911,0
0.2935,-0.7311,0
0.1113,-0.4652,0
1.3735,-1.4233,0
0.3174,1.8142,1
-0.827,0.2106,0
0.202,-0.6897,0
0.6479,0.0971,1
-0.9438,1.762,1
0.7916,-0.1671,1
-0.6367,-0.7844,0
1.2309,-0.1465,1
0.4594,-0.1845,1
0.6164,-0.116,1
0.7639,-0.1832,1
0.8296,0.6724,1
-0.1166,-0.8598,0
-0.9401,-0.7407,0
-0.9845,0.8658,0
-0.0466,1.5701,1
2.2793,0.0242,1
-1.548,-0.3815,0
-0.0753,-1.4884,0
-0.2505,0.2869,1
-0.4594,-0.7684,0
-0.7588,1.7867,1
-0.1596,-0.8299,0
-0.3729,0.9543,1
-0.6847,0.4818,0
0.7279,0.7491,1
1.3997,-0.5505,1
1.1327,-0.7929,1
-0.3965,1.1961,1
0.8224,0.0021,1
-1.1914,0.5617,0
-0.6304,-0.9239,0
