sqft_living,bedrooms,bathrooms,year_built,overall_quality,neighborhood,price,interest_rate,school_score
1710,3,2,2003,7,CollgCr,208320.0,5.06,8.6
1262,3,2,1976,6,Veenker,171810.0,8.23,4.9
1786,3,2,2001,7,CollgCr,217410.0,7.03,7.3
1717,3,1,1915,7,Crawfor,136130.0,6.29,6.2
2198,4,2,2000,8,NoRidge,253420.0,3.86,7.9
1362,1,1,1993,5,Mitchel,146420.0,3.86,5.3
1694,3,2,2004,8,Somerst,312040.0,3.32,8.3
2090,3,2,1973,7,NWAmes,191720.0,7.76,7.4
1774,2,2,1931,7,OldTown,125970.0,6.31,8.6
1077,2,1,1939,5,BrkSide,112330.0,6.89,5.5
1040,3,1,1965,5,Sawyer,135170.0,3.11,4.8
2324,4,3,2005,9,NridgHt,335010.0,8.33,10.0
912,2,1,1962,5,Sawyer,136260.0,7.58,6.2
1494,3,2,2006,7,CollgCr,281990.0,4.17,5.8
1253,2,1,1960,6,NAmes,160000.0,4.0,6.6
854,2,1,1929,7,BrkSide,134970.0,4.01,7.7
1004,2,1,1970,6,NAmes,149990.0,4.67,5.7
1296,2,2,1967,4,Sawyer,87330.0,5.89,5.4
1114,3,1,2004,5,SawyerW,157860.0,5.38,4.8
1339,3,1,1958,5,NAmes,140200.0,4.6,5.1
2376,4,3,2005,8,NridgHt,321190.0,6.37,7.8
1108,3,1,1930,7,IDOTRR,143090.0,3.77,7.0
1795,3,2,2002,8,CollgCr,231170.0,4.61,6.9
1060,3,1,1976,5,MeadowV,129870.0,5.01,3.6
1060,3,1,1968,5,Sawyer,152470.0,5.51,6.6
1600,3,2,2007,8,NridgHt,249340.0,7.32,7.2
900,3,1,1951,5,NAmes,137500.0,4.1,4.0
1704,3,2,2007,8,NridgHt,303510.0,5.83,5.8
1600,2,1,1957,5,NAmes,203720.0,6.26,4.4
520,1,1,1927,4,BrkSide,73720.0,3.26,2.7
1317,3,1,1920,4,IDOTRR,35980.0,6.34,5.6
1228,3,1,1966,5,Sawyer,152530.0,3.94,6.0
1234,3,2,2007,8,CollgCr,184820.0,3.36,7.3
1700,4,1,1959,5,NAmes,155840.0,8.22,7.3
1561,2,2,2005,9,NridgHt,267570.0,8.31,10.0
2452,4,3,2004,8,NridgHt,301650.0,7.45,7.7
1097,3,1,1994,5,CollgCr,145960.0,4.68,2.5
1297,3,1,1954,5,NAmes,157380.0,3.54,7.3
1057,3,1,1953,5,NAmes,103720.0,6.76,3.6
1152,2,2,1955,4,Edwards,80740.0,5.42,2.4
1324,3,2,1965,6,NAmes,163990.0,3.67,7.0
1328,2,1,1959,5,Timber,167840.0,5.72,7.4
